title;abstract;journal;area;field
COMPLEX GROUP ALGEBRAS OF ALMOST SIMPLE GROUPS WITH SOCLE PSLN(Q);LET H BE A FINITE GROUP, N >= 3, AND Q BE A PRIME BOWER SUCH THAT Q - 1 DIVIDES NEITHER N NOR N -1, DENOTE BY X-1 (H) THE FIRST COLUMN OF THE ORDINARY CHARACTER TABLE OF H. LET G BE A FINITE GROUP SUCH THAT PSLN- (Q) <= G <= PGL(N)(Q). IN THIS PAPER, WE WILL SHOW THAT IF X-1 (H) ;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
RINGS WHOSE SINGULAR IDEALS ARE NIL;IT IS WELL KNOWN THAT WHEN A RINGRSATISFIES ACC ON RIGHT ANNIHILATORS OF ELEMENTS, THEN THE RIGHT SINGULAR IDEAL OFRIS NIL, IN THIS CASE, WE SAYRIS RIGHT NIL-SINGULAR. MANY CLASSES OF RINGS WHOSE SINGULAR IDEALS ARE NIL, BUT DO NOT SATISFY THE ACC ON RIGHT ANNIHILATORS, ARE PRESE;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
THIRD POWER ASSOCIATIVE, ANTIFLEXIBLE RINGS SATISFYING (A,B,AC)=A(A,B,C);IN THIS PAPER, WE STUDY THIRD POWER ASSOCIATIVE, ANTIFLEXIBLE RINGS SATISFYING THE IDENTITY (A,B,AC)=A(A,B,C). WE PROVE THAT THIRD POWER ASSOCIATIVE, ANTIFLEXIBLE RINGS SATISFYING THE IDENTITY (A,B,AC)=A(A,B,C) WITH CHARACTERISTIC 2,3 ARE ASSOCIATIVE OF DEGREE 5. AS A CONSEQUENCE;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
IRREDUCIBLE MODULES FOR EQUIVARIANT MAP SUPERALGEBRAS AND THEIR EXTENSIONS;LET GAMMA BE A GROUP ACTING ON A SCHEME X AND ON A LIE SUPERALGEBRA G, BOTH DEFINED OVER AN ALGEBRAICALLY CLOSED FIELD OF CHARACTERISTIC ZERO K. THE CORRESPONDING EQUIVARIANT MAP SUPERALGEBRA M(G, X)(GAMMA) IS THE LIE SUPERALGEBRA OF GAMMA-EQUIVARIANT REGULAR MAPS FROM X TO G. IN;JOURNAL OF ALGEBRA;Mathematics;Algebra
MATRICES OVER ZHOU NIL-CLEAN RINGS;A RING R IS ZHOU NIL-DEAN IF EVERY ELEMENT IN R IS THE SUM OF TWO TRIPOTENTS AND A NILPOTENT THAT COMMUTE. LET R BE A ZHOU NIL-CLEAN RING. IF R IS 2-PRIMAL (OF BOUNDED INDEX), WE PROVE THAT EVERY SQUARE MATRIX OVER R IS THE SUM OF TWO TRIPOTENTS AND A NILPOTENT. THESE PROVIDE A L;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
ACTIONS OF COCOMMUTATIVE HOPF ALGEBRAS;LET H BE A COCOMMUTATIVE HOPF ALGEBRA ACTING ON AN ALGEBRA A. ASSUMING THE BASE FIELD TO BE ALGEBRAICALLY CLOSED AND THE H-ACTION ON A TO BE INTEGRAL, THAT IS, IT IS GIVEN BY A COACTION OF SOME HOPF SUBALGEBRA OF THE FINITE DUAL H DEGREES THAT IS AN INTEGRAL DOMAIN, WE STRATIFY T;JOURNAL OF ALGEBRA;Mathematics;Algebra
RESTRICTION OF CHARACTERS TO SUBGROUPS OF WREATH PRODUCTS AND BASIC SETS FOR THE SYMMETRIC GROUP;IN THIS PAPER, WE GIVE THE DECOMPOSITION INTO IRREDUCIBLE CHARACTERS OF THE RESTRICTION TO THE WREATH PRODUCT OF ANY IRREDUCIBLE CHARACTER OF WHERE P IS ANY ODD PRIME, IS AN INTEGER, AND AND DENOTE THE CYCLIC GROUPS OF ORDER P AND P - 1 RESPECTIVELY. THIS ANSWERS THE QUESTION OF ;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
CLASSIFICATION OF COMPATIBLE LEFT-SYMMETRIC CONFORMAL ALGEBRAIC STRUCTURES ON THE LIE CONFORMAL ALGEBRA W(A, B);IN THIS ARTICLE, UNDER SOME NATURAL CONDITION, A COMPLETE CLASSIFICATION OF COMPATIBLE LEFT-SYMMETRIC CONFORMAL ALGEBRAIC STRUCTURES ON THE LIE CONFORMAL ALGEBRA W(A, B) IS PRESENTED. MOREOVER, APPLYING THIS RESULT, WE OBTAIN A CLASS OF COMPATIBLE LEFT-SYMMETRIC ALGEBRAIC STRUCTU;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
QUASI-VALUATIONS AND ALGEBRAS OVER VALUATION DOMAINS;SUPPOSE F IS A FIELD WITH VALUATION V AND VALUATION DOMAIN O-V, AND R IS AN O-V-ALGEBRA. WE PROVE THAT R SATISFIES SGB (STRONG GOING BETWEEN) OVER O-V. WE GIVE A NECESSARY AND SUFFICIENT CONDITION FOR R TO SATISFY LO (LYING OVER) OVER O-V. USING THE FILTER QUASI-VALUATION CONSTRU;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
CONJUGACY STABILITY OF PARABOLIC SUBGROUPS OF ARTIN-TITS GROUPS OF SPHERICAL TYPE;WE GIVE A COMPLETE CLASSIFICATION OF CONJUGACY STABLE PARABOLIC SUBGROUPS OF ARTIN-TITS GROUPS OF SPHERICAL TYPE. THIS ANSWERS A QUESTION POSED BY IVAN MARIN AND GENERALIZES A THEOREM OBTAINED BY JUAN GONZALEZ-MENESES IN THE SPECIFIC CASE OF ARTIN BRAID GROUPS. (C) 2020 ELSEVIER ;JOURNAL OF ALGEBRA;Mathematics;Algebra
COMPATIBLE ACTIONS OF LIE ALGEBRAS;WE STUDY COMPATIBLE ACTIONS (INTRODUCED BY BROWN AND LODAY IN THEIR WORK ON THE NON-ABELIAN TENSOR PRODUCT OF GROUPS) IN THE CATEGORY OF LIE ALGEBRAS OVER A FIXED RING. WE DESCRIBE THE PEIFFER PRODUCT VIA A NEW DIAGRAMMATIC APPROACH, WHICH SPECIALIZES TO THE KNOWN DEFINITIONS BOT;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
HIGHER GAUSS MAPS OF VERONESE VARIETIESA GENERALIZATION OF BOOLE'S FORMULA AND DEGREE BOUNDS FOR HIGHER GAUSS MAP IMAGES;THE IMAGE OF THE HIGHER GAUSS MAP FOR A PROJECTIVE VARIETY IS DISCUSSED. THE NOTION OF HIGHER GAUSS MAPS HERE WAS INTRODUCED BY FYODOR L. ZAK AS A GENERALIZATION OF BOTH ORDINARY GAUSS MAPS AND CONORMAL MAPS. THE MAIN RESULT IS A CLOSED FORMULA FOR THE DEGREE OF THOSE IMAGES OF V;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
A GENERALIZATION OF DICKSON'S COMMUTATIVE DIVISION ALGEBRAS;DICKSON'S COMMUTATIVE SEMIFIELDS ARE AN IMPORTANT CLASS OF FINITE DIVISION ALGEBRAS. WE GENERALIZE DICKSON'S CONSTRUCTION OVER ANY BASE FIELD BY DOUBLING NOT JUST FINITE FIELD EXTENSIONS (WHICH WOULD CORRESPOND TO THE CLASSICAL SETUP), BUT ALSO CENTRAL SIMPLE ALGEBRAS. THE LATTER;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
MODULES INDUCED FROM POLYNOMIAL SUBALGEBRAS OF THE VIRASOSO ALGEBRA;THE VIRASORO LIE ALGEBRA IS A ONE-DIMENSIONAL CENTRAL EXTENSION OF THE WITT ALGEBRA, WHICH CAN BE REALIZED AS THE LIE ALGEBRA OF DERIVATIONS ON THE ALGEBRA C[T] OF LAURENT POLYNOMIALS. USING THIS FACT, WE DEFINE A NATURAL FAMILY OF SUBALGEBRAS OF THE VIRASORO ALGEBRA, WHICH WE CA;JOURNAL OF ALGEBRA;Mathematics;Algebra
WORST UNSTABLE POINTS OF A HILBERT SCHEME;IN THIS PAPER, WE DESCRIBE THE WORST UNSTABLE POINTS OF A HILBERT SCHEME FOR SOME SPECIAL HILBERT POLYNOMIALS AND AMBIENT SPACES USING MURAI'S WORK ON GOTZMANN MONOMIAL SETS. WE INVESTIGATE THE GEOMETRY OF THE PROJECTIVE SCHEMES REPRESENTED BY WORST UNSTABLE HILBERT POINTS AND SE;JOURNAL OF ALGEBRA;Mathematics;Algebra
ON N-MULTIPLY SIGMA-LOCAL FORMATIONS OF FINITE GROUPS;"THROUGHOUT THIS PAPER, ALL GROUPS ARE FINITE. LET DENOTES THE SET ; AND . WE CALL ANY FUNCTION F OF THE FORMA FORMATION SIGMA-FUNCTION, AND WE PUT SIGMA-FUNCTION F WE HAVE , THEN WE SAY THAT THE CLASS IS SIGMA-LOCAL AND F IS A SIGMA-LOCAL DEFINITION OF . WE SUPPOSE THAT EVERY FOR";COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
GALE DUALITY AND HOMOGENEOUS TORIC VARIETIES;A NON-DEGENERATE TORIC VARIETY X IS CALLED S-HOMOGENEOUS IF THE SUBGROUP OF THE AUTOMORPHISM GROUP AUT(X) GENERATED BY ROOT SUBGROUPS ACTS ON X TRANSITIVELY. WE PROVE THAT MAXIMAL S-HOMOGENEOUS TORIC VARIETIES ARE IN BIJECTION WITH PAIRS (P,?), WHERE P IS AN ABELIAN GROUP AND ? I;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
BLOCKS WITH DEFECT GROUP Z(2N) X Z(2N) X Z(2M);IN THIS PAPER, WE PROVE THAT A BLOCK ALGEBRA WITH DEFECT GROUP Z(2N) X Z(2N) X Z(2M) WHERE N >= 2 AND EN IS ARBITRARY, IS MORITA EQUIVALENT TO ITS BRAUER CORRESPONDENT. (C) 2018 ELSEVIER INC. ALL RIGHTS RESERVED.;JOURNAL OF ALGEBRA;Mathematics;Algebra
A NOTE ON THE GRADED ISORADICAL OF A GRADED RING;WE STUDY THE GRADED ISORADICAL OF A RING GRADED BY A GROUP. IN PARTICULAR, WE COMPARE THE GRADED ISORADICAL AND THE CLASSICAL ISORADICAL OF A GRADED RING, EXAMINE THE QUESTION OF HOW THE (GRADED) ISORADICAL OF A GRADED RING DEPENDS ON THE CLASSICAL ISORADICAL OF A RING WHICH CORR;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
SUPER VERTEX ALGEBRAS, MEROMORPHIC JACOBI FORMS AND UMBRAL MOONSHINE;THE VECTOR-VALUED MOCK MODULAR FORMS OF UMBRAL MOONSHINE MAY BE REPACKAGED INTO MEROMORPHIC JACOBI FORMS OF WEIGHT ONE. IN THIS WORK WE CONSTRUCTIVELY SOLVE TWO CASES OF THE MEROMORPHIC MODULE PROBLEM FOR UMBRAL MOONSHINE. SPECIFICALLY, FOR THE TYPE A NIEMEIER ROOT SYSTEMS WITH C;JOURNAL OF ALGEBRA;Mathematics;Algebra
THE DUALITY OF GL(M/N) MIN AND GL(K) GAUDIN MODELS;WE ESTABLISH A DUALITY OF THE NON-PERIODIC GAUDIN MODEL ASSOCIATED WITH SUPERALGEBRA GL(M/N) AND THE NON-PERIODIC GAUDIN MODEL ASSOCIATED WITH ALGEBRA GL(K). THE HAMILTONIANS OF THE GAUDIN MODELS ARE GIVEN BY EXPANSIONS OF A BEREZINIAN OF AN (M + N) X (M + N) MATRIX IN THE CASE O;JOURNAL OF ALGEBRA;Mathematics;Algebra
GORENSTEIN LIAISON FOR TORIC IDEALS OF GRAPHS;A CENTRAL QUESTION IN LIAISON THEORY ASKS WHETHER EVERY COHEN-MACAULAY, GRADED IDEAL OF A STANDARD GRADED K-ALGEBRA BELONGS TO THE SAME G-LIAISON CLASS OF A COMPLETE INTERSECTION. IN THIS PAPER WE ANSWER THIS QUESTION POSITIVELY FOR TORIC IDEALS DEFINING EDGE SUBRINGS OF BIPARTIT;JOURNAL OF ALGEBRA;Mathematics;Algebra
A FINER TATE DUALITY THEOREM FOR LOCAL GALOIS SYMBOLS;"LET K BE A FINITE EXTENSION OF Q(P). LET A, B BE ABELIAN VARIETIES OVER K OF GOOD REDUCTION. FOR ANY INTEGER M >= 1, WE CONSIDER THE GALOIS SYMBOL K(K; A, B)/M -> H-2(K, A[M] CIRCLE TIMES B[M]), WHERE K(K; A, B) IS THE SOMEKAWA K-GROUP ATTACHED TO A, B. THIS MAP IS A GENERALIZATI";JOURNAL OF ALGEBRA;Mathematics;Algebra
AMPLE FILTERS OF INVERTIBLE SHEAVES (VOL 259, PG 243, 2003);IN THIS CORRIGENDUM, WE CORRECT THE STATEMENT AND PROOF OF [6, LEMMA 3.3]. WE ALSO VERIFY THE THEOREMS RELIANT ON THE INCORRECT LEMMA. (C) 2018 ELSEVIER INC. ALL RIGHTS RESERVED.;JOURNAL OF ALGEBRA;Mathematics;Algebra
MINIMAL P-EXTENSIONS AND THE EMBEDDING PROBLEM;WE INVESTIGATE THE ULTRASOLVABILITY PROBLEM FOR MINIMAL P-GROUP EXTENSIONS OF ODD ORDER: FOR THE FACTORGROUP OF SUCH EXTENSION, THERE EXISTS A GALOIS EXTENSION OF NUMBER FIELDS SUCH AS CORRESPONDING EMBEDDING PROBLEM IS ULTRASOLVABLE (I.E. THIS EMBEDDING PROBLEM IS SOLVABLE AND A;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
SUPERCHARACTERS AND THE DISCRETE FOURIER, COSINE, AND SINE TRANSFORMS;USING SUPERCHARACTER THEORY, WE IDENTIFY THE MATRICES THAT ARE DIAGONALIZED BY THE DISCRETE COSINE AND DISCRETE SINE TRANSFORMS, RESPECTIVELY. OUR METHOD AFFORDS A COMBINATORIAL INTERPRETATION FOR THE MATRIX ENTRIES.;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
ALGEBRAS AND SEMIGROUPS OF LOCALLY SUBEXPONENTIAL GROWTH;WE PROVE THAT A COUNTABLE DIMENSIONAL ASSOCIATIVE ALGEBRA (RESP. A COUNTABLE SEMIGROUP) OF LOCALLY SUBEXPONENTIAL GROWTH IS M-INFINITY-EMBEDDABLE AS A LEFT IDEAL IN A FINITELY GENERATED ALGEBRA (RESP. SEMIGROUP) OF SUBEXPONENTIAL GROWTH. MOREOVER, WE PROVIDE BOUNDS FOR THE GROWTH;JOURNAL OF ALGEBRA;Mathematics;Algebra
MORE ON RANK-2 TORI AND ITS COHOMOLOGICAL APPLICATIONS;LET K BE A FIELD OF CHARACTERISTIC DIFFERENT FROM 2 AND 3. IN THIS PAPER, WE STUDY THE MAXIMAL K-TORI T IN THE CONNECTED SIMPLE ALGEBRAIC GROUPS OF TYPE A(2) AND G(2). WE REFER TO THESE TORI AS UNITARY TORI. WE STUDY THE COHOMOLOGY H-1 (K, T) AND DEDUCE HOW THE PRESENCE OF MAXIMA;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
ACTIONS OF QUANTUM LINEAR SPACES ON QUANTUM ALGEBRAS;WE STUDY ACTIONS OF BOSONIZATIONS OF QUANTUM LINEAR SPACES ON QUANTUM ALGEBRAS. UNDER MILD CONDITIONS, WE CLASSIFY ACTIONS ON QUANTUM AFFINE SPACES AND QUANTUM MATRIX ALGEBRAS. IN THE FORMER CASE, IT IS SHOWN THAT ALL ACTIONS OF GENERALIZED TAFT ALGEBRAS ARE TRIVIAL EXTENSIONS OF;JOURNAL OF ALGEBRA;Mathematics;Algebra
SKEW BRACES AND THE GALOIS CORRESPONDENCE FOR HOPF GALOIS STRUCTURES;LET L/K BE A GALOIS EXTENSION OF FIELDS WITH GALOIS GROUP GAMMA, AND SUPPOSE L/K IS ALSO AN H-HOPF GALOIS EXTENSION. USING THE RECENTLY UNCOVERED CONNECTION BETWEEN HOPF GALOIS STRUCTURES AND SKEW LEFT BRACES, WE INTRODUCE A METHOD TO QUANTIFY THE FAILURE OF SURJECTIVITY OF THE G;JOURNAL OF ALGEBRA;Mathematics;Algebra
COKERNELS OF THE CARTAN MATRIX AND STRATIFYING SYSTEMS;WE STUDY THE COKERNEL OF THE APPLICATION GIVEN BY THE CARTAN MATRIX C OF A FINITE DIMENSIONAL K-ALGEBRA THIS PRODUCES A FINITELY GENERATED ABELIAN GROUP, THE CARTAN GROUP WHICH IS INVARIANT UNDER DERIVED EQUIVALENCES. WE ARE INTERESTED IN THE CASE WHEN G IS FINITE. FOR A STANDARD;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
A REMARK ON CONNECTIVE K-THEORY;LET X BE A SMOOTH ALGEBRAIC VARIETY OVER AN ARBITRARY FIELD. LET PHI BE THE CANONICAL SURJECTIVE HOMOMORPHISM OF THE CHOW RING OF X ONTO THE RING ASSOCIATED WITH THE CHOW FILTRATION ON THE GROTHENDIECK RING K(X). WE REMARK THAT PHI IS INJECTIVE IF AND ONLY IF THE CONNECTIVE K-THE;JOURNAL OF ALGEBRA;Mathematics;Algebra
COLEMAN AUTOMORPHISMS OF PERMUTATIONAL WREATH PRODUCTS II;LET K BE AN ARBITRARY PERMUTATION GROUP ON A FINITE SET OMEGA. LET G = H (SIC) K BE THE CORRESPONDING PERMUTATIONAL WREATH PRODUCT OF A GROUP H BY K. IT IS PROVED THAT EVERY COLEMAN AUTOMORPHISM OF G IS INNER WHENEVER H IS EITHER AN ALMOST SIMPLE GROUP OR A P-CONSTRAINED GROUP WI;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
ENDOMORPHISMS OF THE POSET OF IDEMPOTENT MATRICES;LET D BE A DIVISION RING, N >= 3 AN INTEGER, AND P-N(D) THE POSET OF ALL N X N IDEMPOTENT MATRICES OVER D WITH THE PARTIAL ORDER DEFINED BY P <= Q IF PQ = QP = P. LET T IS AN ELEMENT OF M-N (D) BE AN INVERTIBLE MATRIX AND SIGMA : D -> B AN ENDOMORPHISRN (TAU : D -> D AN ANTI-ENDO;JOURNAL OF ALGEBRA;Mathematics;Algebra
SIMPLE RESTRICTED MODULES FOR NEVEU-SCHWARZ ALGEBRA;IN THIS PAPER, WE GIVE A CONSTRUCTION OF SIMPLE MODULES GENERALIZING BOTH HIGHEST WEIGHT AND WHITTAKER MODULES FOR THE NEVEU-SCHWARZ ALGEBRA, IN THE SPIRIT OF THE WORK OF MAZORCHUK AND ZHAO ON SIMPLE VIRASORO MODULES. WE ESTABLISH A 1-1 CORRESPONDENCE BETWEEN SIMPLE RESTRICTED NE;JOURNAL OF ALGEBRA;Mathematics;Algebra
"ADDENDUM TO ""ON NATURAL MONOMIAL CHARACTERS OF S-N""";IT IS SHOWN THAT THE NATURAL MONOMIAL CHARACTERS OF THE SYMMETRIC GROUP INTRODUCED IN THE ABOVE ARTICLE ARE WELL-BEHAVED WITH RESPECT TO -ELEMENTS.;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
SCHUR MULTIPLIER AND (RESIDUAL) NILPOTENT LIE RINGS;IN THIS ARTICLE, SOME PROPERTIES OF THE SCHUR MULTIPLIER AND RESIDUAL NILPOTENCY OF LIE RINGS ARE STUDIED. IN THE CASE OF NILPOTENT LIE RINGS AND GIVEN SPECIAL HOMOMORPHISM BETWEEN RINGS, SOME ISOMORPHISMS WILL BE OBTAINED. FURTHERMORE, WE WILL PROVE THAT THE RESIDUAL NILPOTENT O;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
ENGEL CONDITIONS OF GENERALIZED DERIVATIONS ON LEFT IDEALS AND LIE IDEALS IN PRIME RINGS;LET R BE A NONCOMMUTATIVE PRIME RING, I A NONZERO LEFT IDEAL OF R, L A NON-CENTRAL LIE IDEAL OF R, U THE LEFT UTUMI QUOTIENT RING OF R AND THE EXTENDED CENTROID OF R. LET G BE A GENERALIZED DERIVATION OF R AND G BE A DERIVATION OF R AND FIXED POSITIVE INTEGERS. IN THE PRESENT PAP;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
PRODUCTS OF ELEMENTARY MATRICES AND NON-EUCLIDEAN PRINCIPAL IDEAL DOMAINS;"A CLASSICAL PROBLEM, ORIGINATED BY COHN'S 1966 PAPER [1], IS TO CHARACTERIZE THE INTEGRAL DOMAINS R SATISFYING THE PROPERTY: (GE(N)) ""EVERY INVERTIBLE N X N MATRIX WITH ENTRIES IN R IS A PRODUCT OF ELEMENTARY MATRICES"". COHN CALLED THESE RINGS GENERALIZED EUCLIDEAN, SINCE THE CLA";JOURNAL OF ALGEBRA;Mathematics;Algebra
COMMUTING INVOLUTION GRAPHS FOR (C)OVER-TILDE(N);IN THIS ARTICLE WE CONSIDER COMMUTING GRAPHS OF INVOLUTION CONJUGACY CLASSES IN THE AFFINE WEYL GROUP OF TYPE WE SHOW THAT WHERE THE GRAPH IS CONNECTED THE DIAMETER IS AT MOST N+2 .;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
SIMPLE FLAT LEAVITT PATH ALGEBRAS ARE VON NEUMANN REGULAR;FOR A UNITAL RING, IT IS AN OPEN QUESTION WHETHER FLATNESS OF SIMPLE MODULES IMPLIES ALL MODULES ARE FLAT AND THUS THE RING IS VON NEUMANN REGULAR. THE QUESTION WAS RAISED BY RAMAMURTHI OVER 40 YEARS AGO WHO CALLED SUCH RINGS SF-RINGS (I.E. SIMPLE MODULES ARE FLAT). IN THIS NOTE ;COMMUNICATIONS IN ALGEBRA;Mathematics;Algebra
TRIPLE MASSEY PRODUCTS OF WEIGHT (1, N, 1) IN GALOIS COHOMOLOGY;FIX AN ARBITRARY PRIME P. LET F BE A FIELD CONTAINING A PRIMITIVE P-TH ROOT OF UNITY, WITH ABSOLUTE GALOIS GROUP G(F), AND LET H-N DENOTE ITS MOD P COHOMOLOGY GROUP H-N (G(F), Z/PZ). THE TRIPLE MASSEY PRODUCT (ABBREVIATED 3MP) OF WEIGHT (N, K, M) IS AN ELEMENT OF N-3 IS A PARTIAL;JOURNAL OF ALGEBRA;Mathematics;Algebra
TWISTED MODULES AND CO-INVARIANTS FOR COMMUTATIVE VERTEX ALGEBRAS OF JET SCHEMES;LET Z SUBSET OF A(K) BE AN AFFINE SCHEME OVER C AND JZ ITS JET SCHEME. IT IS WELL-KNOWN THAT C[JZ], THE COORDINATE RING OF JZ, HAS THE STRUCTURE OF A COMMUTATIVE VERTEX ALGEBRA. THIS PAPER DEVELOPS THE ORBIFOLD THEORY FOR C[JZ]. A FINITE-ORDER LINEAR AUTOMORPHISM G OF Z ACTS BY V;JOURNAL OF ALGEBRA;Mathematics;Algebra
